,상품명,단가,상품코드
398,동서)모카믹스1.2kg,12500,8801037019667
399,오뚜기)옥수수유3.6L,14800,8801045442877
400,청상추(소분/특/봉/국산),2480,2100000625581
401,풋고추(300g/특/봉/국산),2480,2100000632282
402,뽑아쓰는샤프란30매,4980,8801051261165
403,삼립)단팥&야채호빵 12개입,7750,8801068372892
404,씨)맥스봉치즈630g,5980,8801007080635
405,동표)복숭아400g,990,8809205068967
406,생활가득)콩나물300g,700,8802015202002
407,오뚜기)진라면(순)120*5,2450,8801045522234
408,쿡클래스)부산어묵사각,2450,8804023948521
409,오성)두모큰두부,2200,8802015101619
410,크)카라멜콘과땅콩(중,1250,8801111922531
411,롯)꼬깔콘고소한맛,1500,8801062007080
412,월매도토리묵380g,2500,8809050810018
413,왕)대박떡갈비김밥용,7500,8809226823408
414,청양고추(1kg/특/봉/국산),9900,2100000629442
415,참깨고소해,9800,8803718100442
416,식도락)김말이,3500,8809095489224
417,"코리원)모짜렐라치즈100%,냉동",18300,8809229425296
418,뚜레반)쌀가루1kg,4400,8805017210334
419,곰표)핫도그가루2kg,2980,8801176202159
420,웰쿠스)모듬소시지2,3500,8809335383039
421,글로벌)냉동다진마늘1kg,1980,8809415401523
422,웰쿠스)빌소시지,6800,8809335383114
423,"★해원)절단꽃게,S",2200,2100000604937
424,라리)오이피클3.1kg,3980,8809251218859
425,오쉐프)피자소스3kg,10500,8801045965697
426,통닭집게,2200,8808086002183
427,롯데)스위트커널콘2.85kg,3200,8801118797941
428,볶음땅콩3.75kg,16800,8809009749550
429,매)요구르트65*15입,1980,8801121104767
430,청정원)올리브유900ml,7980,8801052951508
431,롯데)콘트라베이스커피,1800,8801056094591
432,오)왕고래밥L,1980,8801117122904
433,오리온치킨팝L162g,1980,8801117674809
434,짠지네베트남건고추,7000,8809351251480
435,다이아)칵테일새우71-90,4200,8809449222552
436,삼립)56시간저온숙성식빵,2450,8801068087130
437,티알아이바질홀,3300,8809365580101
438,티알)파슬리후레이크小,2300,8809365580347
439,팔도)남자라면,3870,8809296881025
440,팔)더왕뚜껑멀티,3980,8809296884705
441,오뚜기)진짬뽕멀티,5480,8801045522838
442,삼양)칼국수멀티100*5,3250,8801073101593
443,오뚜기)옛날국수중면3kg,6300,8801045492704
444,"★해원)절단꽃게,L",2800,2100000597000
445,한결)십장생찹쌀,29800,8809262310559
446,왕)냉면,2300,8809226829332
447,오뚜기)옛날자른당면1kg,7900,8801045375045
448,해표)옥배유1.8L,8100,8801039202517
449,사조)고등어400g,1980,8801075001327
450,창희)떡복이떡,3150,8802151900053
451,대림)옛맛사각어묵280,1500,8801066058064
452,남)과수원24입,7500,8801069403786
453,빙)쥬시쿨복숭아930,990,8801104250603
454,대)PSP사발용기,3450,8809436940858
455,진한)우거지갈비탕,2990,8809033050103
456,진한)추어탕,2900,8809033050011
457,진한)소머리곰탕,2790,8809033050073
458,동서)맥심TOP블랙275ml,1000,8801037087741
459,코)토레타아쿠아,1000,8801094412005
460,대패삼겹살,12483,207132
461,농)새우깡,1000,8801043035989
462,오)스윙칩볶음L,2580,8801117789404
463,삼립)옛날밤만쥬,6200,8801068086560
464,피)페브리즈상쾌한향용기,11800,4902430005630
465,새꼬막,7107,206588
466,"국산양파(4.5kg,특대,망)",6900,2100000523573
467,제주삼다수,1000,8808244201045
468,쿡클래스)부산어묵볼,2450,8804023939642
469,쥐포채,18500,8809009748669
470,스낵(킨더조이boy3입),4650,8000500075708
471,에너자이저LR06/2P,1400,8888021200669
472,"★해원)절단꽃게,2L",2800,2100000604968
473,신)보해잎새주병,1230,8801147121731
474,남)망고요구르트280,1200,8801069186665
475,동)포카리이온워터,1000,8801097278011
476,빙)따옴포도,990,8801104300384
477,"팽이버섯(34입,5kg/특/박스/국산",14900,2100000629794
478,해태)사브레,3980,8801019309236
479,해)구운감자슬림,3750,8801019312588
480,서)땅콩카라멜600g,4500,8803508512462
481,서)호박엿300g,2580,8803508512325
482,크)6400 롱스1+1,2980,8801111614641
483,롯)6000카스타드오리,2980,8801062521036
484,빙)바나나혼합팩5입,4300,8801104212762
485,오뚜기)옛날칼국수900g,2960,8801045494401
486,뉴소쿠리 9호,5900,8809122230737
487,신)가야산샘물,500,8809274243333
488,삼겹살 보쌈용,17222,207131
489,목살 보쌈용,8791,207143
490,백)부대찌게양념140g,1800,8801007023373
491,코)코카콜라제로,1250,8801094082604
492,제당)허브맛솔트순한맛,2000,8801007187891
493,오뚜기삼겹살양파절임소스,1850,8801045120577
494,전복,4800,206575
495,양송이버섯(특/팩/국산),2980,2100000629879
496,오뚜기)맛있는밥4입,3480,8801045892085
497,오리온)나쵸오리지널,1250,8801117765903
498,롯)1500오잉,1250,8801062382811
499,오이맛고추팩(300g/특/팩/국산),3480,2100000629527
500,다담정통된장찌개140,1800,8801007250397
501,일성직화은박라면용기50p,1200,8807487890481
502,대림)부어스트콤비네이션,3580,8801066054899
503,오뚜기)열라면(용기)115g,850,8801045570716
504,롯데)홈버터,6500,8801118557347
505,청정원)안주야마늘근위,5980,8801052043869
506,농)사리곰탕큰사발,1000,8801043015943
507,해)홈런볼초코,1280,8801019310720
508,적상추(소분/특/봉/국산),2480,2100000625604
509,롯데 종이컵10입,300,8801235240030
510,청정원)쌈장사각200g,990,8801052438092
511,청정원)구운소금200g,2200,8801052701318
512,보겔)알팝콘700g,2200,8801701812457
513,델몬트알로에병,2900,8801056022150
514,삼립)그릭슈바인,1480,8801068092387
515,오뚜기)라면사리110*5,1500,8801045522982
516,동원)양반꿀호박죽285g,1890,8801047161592
517,마산몽고)진간장13L,15900,8801301012660
518,적상추(4kg/특/박스/국산),22900,2100000625598
519,오천)단지무말랭이4k,11500,8809352813366
520,드림)웰던도너츠5입,2900,8809328800130
521,백설요리의신시원국물,1980,8801007637051
522,롯데)비스켓5번들 기획,2980,8801062520176
523,청정원)중화미원2kg,14900,8801052103167
524,해)홈런볼*4초코,3480,8801019306587
525,매)엔요 10입,2980,8801121772416
526,유동)번데기130g,1000,8801063310011
527,세)부산어묵고급사각,2700,8809326510116
528,오뚜기)케?200g,1080,8801045100159
529,한우 꽃등심,14658,207301
530,한우 장조림,10304,207332
531,홍합,2490,206586
532,하리보워미스100g,1480,5996379377360
533,금세기)떡볶이떡1kg,2980,8809157131016
534,샤인손잡이꼬지150*10,1380,8808085603039
535,콘)월드콘,600,8801062422517
536,튜브)더블더블딸기,500,8801206670194
537,바)메가톤,330,8801062417438
538,땅콩소보루스틱,1500,8801068101959
539,양상추(1입/특/봉/국산),2280,2100000626380
540,인디)또띠아,3850,8801216071226
541,햇재래돌김100매,9900,8809009748553
542,해)아몬드볶음멸치,8400,8809009740113
543,하림)치킨텐더스틱,13800,8801492110251
544,삼미)홀그레인머스타드255g,3980,11209000043
545,진미)숯불향고기소스290g,5980,8801389032611
546,해)후렌치파이사과,2980,8801019311925
547,크)쿠크다스화이트288,4430,8801111186124
548,삼양)짱구115g,1150,8801073310698
549,농)양파깡,1250,8801043036498
550,씨)더건강슬라이햄100,2150,8801007166018
551,이바라삶은돼지막창50,13800,8809268530012
552,엘)퐁퐁베이킹소다,3250,8801051232394
553,"밤고구마(특,2kg,박스)",6900,2100000496327
554,엘)수퍼타이9k,9900,8801051216103
555,이엔)가스오후리가께50g,900,8809239770003
556,수입 냉장 척아이롤,8282,207952
557,팔도강산김16,2980,8809060474736
558,삼양)사또밥67g,1150,8801073310711
559,농)바나나킥,1250,8801043036634
560,이엔)매운맛후리가께50g,900,8809239770263
561,가브리살,15008,207180
562,제당햇반,8800,8801007636344
563,롯데ABC초코쿠키152g,2780,8801062893539
564,심플루트해쉬브라운,5500,71179340419
565,바)옥동자딸기맛,330,8801062412020
566,엘)ES데일리모이스처컨디셔너,7900,8801051163308
567,엘)ES데일리모이스처샴푸,7900,8801051163292
568,이푸드)훈제닭가슴살,2200,8809021754136
569,청정한)홍새우살,2300,8809443560445
570,B)신)참이슬후레쉬20입,25600,8801048959006
571,진미)진간장1.8L,2680,8801389002119
572,양반)밤단팥죽파우치,2690,8801047169277
573,크루져피치275ml,2600,9329982020938
574,KGB레몬병330ml,3250,9414453903794
575,한성김치맛쌀국수용기,1000,8801074002486
576,한성멸치맛쌀국수용기,1000,8801074002479
577,오뚜기)진컵매65*6,3250,8801045570280
578,삼)컵불닭볶음면6입,5700,8801073250222
579,★하하)솔방울오징어,2200,2100000604746
580,오뚜기)스위트콘198g,1000,8801045363318
581,바)비비빅,330,8801104123181
582,생활가득중량롤백(중),6800,8809518522125
583,B)생활가득프리미엄종이컵,7900,8809490560269
584,매)피크닉사과24입,6800,8801121501115
585,B)하이트캔,32400,8801119834447
586,칠갑)뚝쌀떡국174g,1580,8801759014322
587,청정원)우리쌀야채죽60g,1300,8801052741192
588,뉴썬라이트복숭아100ml,550,8809406850682
589,뉴썬라이트사과110ml,550,8809406850675
590,동원)스위트콘340g,1380,8801047153146
591,제당)하얀설탕3kg,3800,8801007102238
592,서광)박하맛캔디,2480,8805194003330
593,옥수수호떡,1980,8801068113525
594,동서)제티드링크175ml,580,8801037009774
595,씨)맛있는소세지160*2,1870,8801007123073
596,드림팜)착한계란15구,3150,8809183797781
597,롯)빼빼로아몬드,1200,8801062012725
598,롯데빼빼로더블딥리치초코50g,1250,8801062894550
599,수입 냉동 목심,12314,207945
